,Team,Player,Pageviews
283,Luton Town,Liam Walsh,42532.0
284,Luton Town,Millenic Alli,12632.0
285,Luton Town,Lamine Dabo,6586.0
286,Luton Town,Tim Krul,139141.0
287,Luton Town,Thomas Kaminski,104555.0
288,Luton Town,Isaiah Jones,34595.0
289,Luton Town,Shandon Baptiste,38283.0
290,Luton Town,Daiki Hashioka,103659.0
291,Luton Town,Christ Makosso,
292,Luton Town,Lasse Nordås,3019.0
293,Luton Town,Alfie Doughty,101462.0
294,Luton Town,Josh Bowler ,50831.0
295,Manchester City,Rúben Dias ,421057.0
296,Manchester City,John Stones,726263.0
297,Manchester City,Nathan Aké,503410.0
298,Manchester City,Omar Marmoush,456271.0
299,Manchester City,Mateo Kovačić,650476.0
300,Manchester City,Erling Haaland,4294330.0
301,Manchester City,Jack Grealish,1440946.0
302,Manchester City,Jérémy Doku,768186.0
303,Manchester City,Nico,107728.0
304,Manchester City,Rodri ,2311324.0
305,Manchester City,Kevin De Bruyne ,2085885.0
306,Manchester City,Stefan Ortega,502788.0
307,Manchester City,İlkay Gündoğan ,1504493.0
308,Manchester City,Bernardo Silva ,699822.0
309,Manchester City,Vitor Reis,559.0
310,Manchester City,Joško Gvardiol,546231.0
311,Manchester City,Manuel Akanji,490625.0
312,Manchester City,Savinho,571791.0
313,Manchester City,Matheus Nunes,412304.0
314,Manchester City,Ederson,508688.0
315,Manchester City,Scott Carson,563371.0
316,Manchester City,Abdukodir Khusanov,74205.0
317,Manchester City,Phil Foden,2600051.0
318,Manchester City,Oscar Bobb,590312.0
319,Manchester City,Rico Lewis,440953.0
320,Manchester City,James McAtee,329556.0
321,Manchester City,Claudio Echeverri,216164.0
322,Manchester United,Altay Bayındır,356293.0
323,Manchester United,Victor Lindelöf,243920.0
324,Manchester United,Noussair Mazraoui,856878.0
325,Manchester United,Matthijs de Ligt,1124722.0
326,Manchester United,Harry Maguire,815422.0
327,Manchester United,Lisandro Martínez,529270.0
328,Manchester United,Mason Mount,871497.0
329,Manchester United,Bruno Fernandes ,1135384.0
330,Manchester United,Rasmus Højlund,1323996.0
331,Manchester United,Joshua Zirkzee,2172789.0
332,Manchester United,Patrick Dorgu,72763.0
333,Manchester United,Christian Eriksen,878765.0
334,Manchester United,Leny Yoro,970092.0
335,Manchester United,Amad Diallo,1401901.0
336,Manchester United,Alejandro Garnacho,1634560.0
337,Manchester United,Casemiro,940543.0
338,Manchester United,Diogo Dalot,421047.0
339,Manchester United,Tom Heaton,217407.0
340,Manchester United,Luke Shaw,595027.0
341,Manchester United,André Onana,797463.0
342,Manchester United,Manuel Ugarte,970627.0
343,Manchester United,Ayden Heaven,13040.0
344,Manchester United,Jonny Evans,785354.0
345,Manchester United,Kobbie Mainoo,2032291.0
346,Manchester United,Harry Amass,146402.0
347,Manchester United,Toby Collyer,214781.0
348,Nottingham Forest,Morato,69199.0
349,Nottingham Forest,Murillo,216924.0
350,Nottingham Forest,Ibrahim Sangaré,109803.0
351,Nottingham Forest,Neco Williams,232294.0
352,Nottingham Forest,Elliot Anderson,253765.0
353,Nottingham Forest,Taiwo Awoniyi,166304.0
354,Nottingham Forest,Morgan Gibbs-White ,388051.0
355,Nottingham Forest,Chris Wood,784289.0
356,Nottingham Forest,Wayne Hennessey,92485.0
357,Nottingham Forest,Callum Hudson-Odoi,412436.0
358,Nottingham Forest,Harry Toffolo,67638.0
359,Nottingham Forest,Nicolás Domínguez,75952.0
360,Nottingham Forest,Eric da Silva Moreira,63778.0
361,Nottingham Forest,Àlex Moreno ,130856.0
362,Nottingham Forest,Jota Silva,196373.0
363,Nottingham Forest,Anthony Elanga,333575.0
364,Nottingham Forest,Ryan Yates ,116138.0
365,Nottingham Forest,Ramón Sosa,84951.0
366,Nottingham Forest,Matz Sels,203409.0
367,Nottingham Forest,Danilo,100869.0
368,Nottingham Forest,Willy Boly,100677.0
369,Nottingham Forest,Nikola Milenković,166251.0
370,Nottingham Forest,Carlos Miguel,147157.0
371,Nottingham Forest,Ola Aina,291535.0
372,Nottingham Forest,Zach Abbott,22317.0
