,Team,Player,Pageviews
508,Washington Wizards,Justin Champagnie,76914
509,Washington Wizards,Bilal Coulibaly,209238
510,Washington Wizards,Kyshawn George,120216
511,Washington Wizards,Anthony Gill,32740
512,Washington Wizards,Richaun Holmes,68113
513,Washington Wizards,AJ Johnson,59665
514,Washington Wizards,Colby Jones,30251
515,Washington Wizards,Corey Kispert,79002
516,Washington Wizards,Jaylen Martin,19659
517,Washington Wizards,Khris Middleton,251117
518,Washington Wizards,Jaylen Nowell,33362
519,Washington Wizards,Jordan Poole,392527
520,Washington Wizards,Alex Sarr,186572
521,Washington Wizards,Marcus Smart,359563
522,Washington Wizards,Tristan Vukčević,111985
