,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team_df1,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
660,Detroit Lions,Jahmyr Gibbs,https://en.wikipedia.org/wiki/Jahmyr_Gibbs,533629.0,817,Jahmyr Gibbs,2024,32,7,0,0,,0,0,0,,0,,0,432,2357,5.5,26,73.7,134,104,833,8.0,5,26.0,0,,0,0,186,501.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,,0,3190,0,RB,DET,0,0,0,0,0,0,0,,Jahmyr Gibbs,Jahmyr Gibbs,100.0,Detroit Lions,766,816
1323,Detroit Lions,David Montgomery,https://en.wikipedia.org/wiki/David_Montgomery_(American_football),478766.0,1641,David Montgomery,2024,88,79,1,2,50.0,3,1,1,56.2,0,,0,1319,5399,4.1,51,61.4,256,207,1698,8.2,4,19.3,0,,2,0,334,1029.8,0.0,0,1,0,0,0,0,0,10,6,0,0,0,,0,7100,0,RB,"CHI,DET",0,0,0,0,0,0,0,,David Montgomery,David Montgomery,100.0,Detroit Lions,767,1640
1966,Detroit Lions,Sione Vaki,https://en.wikipedia.org/wiki/Sione_Vaki,81140.0,2435,Sione Vaki,2024,16,0,0,0,,0,0,0,,0,,0,6,14,2.3,0,0.9,3,3,37,12.3,0,2.3,0,,0,0,0,5.1,0.0,8,0,0,0,0,0,0,0,0,0,1,0,,0,106,55,RB,DET,0,0,0,0,0,0,0,,Sione Vaki,Sione Vaki,100.0,Detroit Lions,768,2434
146,Detroit Lions,Ronnie Bell,https://en.wikipedia.org/wiki/Ronnie_Bell_(American_football),79412.0,178,Ronnie Bell,2024,26,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,19,8,90,11.3,3,3.5,0,,0,0,18,27.0,0.0,2,1,0,0,0,0,0,1,1,0,0,0,,0,191,93,WR,SFO,0,0,0,0,0,0,0,,Ronnie Bell,Ronnie Bell,100.0,Detroit Lions,769,177
711,Detroit Lions,Antoine Green,https://en.wikipedia.org/wiki/Antoine_Green,35505.0,881,Antoine Green,2023,9,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,2,1,2,2.0,0,0.2,0,,0,0,0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,WR,DET,0,0,0,0,0,0,0,,Antoine Green,Antoine Green,100.0,Detroit Lions,770,880
1071,Detroit Lions,Tom Kennedy,https://en.wikipedia.org/wiki/Tom_Kennedy_(wide_receiver),19342.0,1335,Tom Kennedy,2024,24,1,1,1,100.0,75,1,0,158.3,0,,0,0,0,,0,0.0,26,14,195,13.9,0,8.1,0,,0,0,0,26.5,0.0,2,0,0,0,0,0,0,0,0,0,0,0,,0,460,265,WR,DET,0,0,0,0,0,0,0,,Tom Kennedy,Tom Kennedy,100.0,Detroit Lions,771,1334
1579,Detroit Lions,Kalif Raymond,https://en.wikipedia.org/wiki/Kalif_Raymond,72076.0,1954,Kalif Raymond,2024,97,30,0,0,,0,0,0,,0,,0,23,130,5.7,0,1.3,231,166,2265,13.6,8,23.4,0,,0,0,60,295.5,0.0,7,3,0,0,0,0,0,12,8,0,0,0,,0,5279,2884,WR,"DEN,DET,NYG,NYJ,TEN",0,0,0,0,0,0,0,,Kalif Raymond,Kalif Raymond,100.0,Detroit Lions,772,1953
1801,Detroit Lions,Amon-Ra St. Brown,https://en.wikipedia.org/wiki/Amon-Ra_St._Brown,1461448.0,2230,Amon-Ra St. Brown,2024,66,58,1,1,100.0,7,1,0,135.4,1,,0,22,186,8.5,1,2.8,570,430,4851,11.3,33,73.5,0,,2,0,208,712.0,0.0,1,0,0,0,0,0,0,2,0,0,1,0,,0,5052,15,WR,DET,0,0,0,0,0,2,0,,Amon-Ra St. Brown,Amon-Ra St. Brown,100.0,Detroit Lions,773,2229
2091,Detroit Lions,Jameson Williams,https://en.wikipedia.org/wiki/Jameson_Williams,429017.0,2585,Jameson Williams,2024,33,21,0,0,,0,0,0,,0,,0,15,130,8.7,2,3.9,142,83,1396,16.8,10,42.3,0,,0,0,72,224.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1526,0,WR,DET,0,0,0,0,0,0,0,,Jameson Williams,Jameson Williams,100.0,Detroit Lions,774,2584
1118,Detroit Lions,Sam LaPorta,https://en.wikipedia.org/wiki/Sam_LaPorta,441025.0,1391,Sam LaPorta,2024,33,30,0,0,,0,0,0,,0,,0,1,4,4.0,0,0.1,203,146,1615,11.1,17,48.9,0,,2,0,106,267.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1619,0,TE,DET,0,0,0,0,0,0,0,,Sam LaPorta,Sam LaPorta,100.0,Detroit Lions,775,1390
2158,Detroit Lions,Brock Wright,https://en.wikipedia.org/wiki/Brock_Wright,55428.0,2666,Brock Wright,2024,58,27,0,0,,0,0,0,,0,,0,0,0,,0,0.0,71,56,524,9.4,9,9.0,0,,0,0,54,106.4,0.0,3,1,0,0,0,0,0,0,1,0,0,0,,0,524,0,TE,DET,0,0,0,0,0,0,0,,Brock Wright,Brock Wright,100.0,Detroit Lions,776,2665
454,Detroit Lions,Taylor Decker,https://en.wikipedia.org/wiki/Taylor_Decker,124568.0,558,Taylor Decker,2024,126,126,0,0,,0,0,0,,0,,0,0,0,,0,0.0,4,3,15,5.0,2,0.1,0,,0,0,12,13.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,0,T,DET,0,0,0,0,0,0,0,,Taylor Decker,Taylor Decker,100.0,Detroit Lions,777,557
675,Detroit Lions,Graham Glasgow,https://en.wikipedia.org/wiki/Graham_Glasgow,64907.0,834,Graham Glasgow,2024,132,122,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,,0,0,0,OL,"DEN,DET",0,0,0,0,0,0,0,,Graham Glasgow,Graham Glasgow,100.0,Detroit Lions,779,833
