,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled
49,Arizona Cardinals,16466.0,17,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,23,14,3,0,0,0,5,0,0,0,1,0,0.0,0,0,0,S,0,0,0,0,0,0,0,Dadrion Taylor-Demerson,99.41552744964103,158.8714312628759
50,Arizona Cardinals,13291.0,29,22,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,66,19,2,0,0,0,11,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Starling Thomas,99.42648964617459,159.05539503007634
51,Arizona Cardinals,16085.0,84,72,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,339,144,12,9,9,0,31,0,4,0,1,0,0.0,0,140,0,S,0,0,0,0,0,0,0,Jalen Thompson,99.34582251137213,157.7063735205229
52,Arizona Cardinals,14754.0,25,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,59,22,1,0,3,0,11,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Garrett Williams,99.41825811001388,158.91723739616356
53,Arizona Cardinals,6662.0,196,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,17,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,LS,0,0,0,0,0,0,1,Aaron Brewer,99.4588301925728,159.59929938761596
54,Arizona Cardinals,12650.0,60,0,0,1,0.0,0,0,0,39.6,0,0.0,0,1,10,10.0,0,0.2,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0.0,3,1,0,0,0,0,0,0,0,0,0,11994,48.2,0,10,0,P,0,0,0,0,0,0,0,Blake Gillikin,99.45753007751446,159.57740005806903
55,Arizona Cardinals,64524.0,30,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,44,77.2,0,0,182,194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,117,39.0,0,0,0,K,0,0,0,0,0,0,0,Chad Ryland,98.84427096939156,149.55859084696607
56,Arizona Cardinals,16648.0,68,30,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,5.0,178,102,15,6,1,0,10,0,2,0,1,0,0.0,0,47,0,LB,0,0,0,0,0,0,0,Krys Barnes,99.36558066492361,158.03578965783433
57,Arizona Cardinals,14786.0,13,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Jackson Barton,99.43526851402405,159.20286442081164
58,Arizona Cardinals,45303.0,179,161,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,RT,0,0,0,0,0,0,0,Kelvin Beachum,98.81040468336707,149.02301661161587
59,Arizona Cardinals,19141.0,74,57,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,RG,0,0,0,0,0,0,0,Evan Brown,99.27759629171591,156.5738687565497
60,Arizona Cardinals,23810.0,63,32,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,6.5,39,32,10,19,0,0,7,0,1,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,L.J. Collier,99.26294519948975,156.33167760610138
61,Arizona Cardinals,6069.0,55,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.0,42,25,7,16,0,0,1,0,0,0,2,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Victor Dimukeje,99.53494047553689,160.8862869815749
62,Arizona Cardinals,18036.0,96,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,17.0,117,39,23,35,2,0,7,0,4,0,3,0,0.0,0,36,0,LB,0,0,0,0,0,0,0,Dennis Gardeck,99.34850196724227,157.7510083823131
63,Arizona Cardinals,39204.0,97,91,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,LG,0,0,0,0,0,0,0,Will Hernandez,98.97318662235004,151.61398597038382
64,Arizona Cardinals,10936.0,48,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,6.5,38,51,11,9,0,0,4,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Naquan Jones,99.47518152268908,159.8749668201972
65,Arizona Cardinals,125446.0,115,69,1,2,50.0,29,0,0,95.8,0,0.0,0,8,24,3.0,0,0.2,507,295,3112,10.5,18,27.1,0,0.0,2,0,112,424.8,0.0,3,1,0,0,0,0,0,2,0,0,0,0,0.0,0,3136,0,WR,0,0,0,0,0,0,0,Zay Jones,97.33373115572478,127.34947192210645
66,Arizona Cardinals,18135.0,63,50,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,1,2,0.0,3.0,72,65,17,9,0,0,4,0,2,0,1,0,0.0,0,6,0,DL,0,0,0,0,0,0,0,Roy Lopez,99.35579846492158,157.8726154083466
67,Arizona Cardinals,44278.0,51,5,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,10.0,45,27,15,18,1,0,4,0,1,0,1,0,0.0,0,15,0,LB,0,0,0,0,0,0,0,Julian Okwara,99.04259094690102,152.73157088004072
68,Arizona Cardinals,6624.0,84,0,1,2,50.0,12,0,0,68.7,0,0.0,0,1,1,1.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.6,0.0,2,0,0,0,0,0,0,2,2,0,0,16840,44.8,1,1,0,P,0,0,0,0,0,0,0,Michael Palardy,99.49509854489062,160.21135781642266
69,Arizona Cardinals,24609.0,112,47,0,2,0.0,0,0,0,39.6,0,0.0,0,7,47,6.7,0,0.4,292,169,2057,12.2,16,18.4,0,0.0,1,1,100,306.4,0.0,19,3,1,0,0,0,0,1,1,0,0,0,0.0,0,2701,597,WR,0,0,0,0,0,0,0,Zach Pascal,98.89509554849081,150.36576118464856
