,ID,Player,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG
962,963,Alex Mighten,2022-2023,1,8,0,1,0,0,0,0,0,0,,,0,1,100.0,0,0,0,4,27,0,0,0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,0,,FW,Nott'ham Forest,0,0,0,0,0,0,0,0,0,
963,964,Simon Mignolet,2018-2019,245,21996,244,1,0,0,0,0,0,0,,,0,447,74.4,0,0,0,291,1602,0,0,0,1,1,100.0,2,2,2,0,0,0,1,5,3,4,100.0,7,0,2,7,0,0,47,311,686,69.2,70,28.7,GK,"Liverpool,Sunderland",0,0,0,0,0,0,0,1,0,
964,965,Nikola Milenković,2024-2025,22,1980,22,0,2,1,2,0,22,5,22.7,12.4,0,489,81.9,4,0,35,318,1307,2,1,2,1,1,100.0,26,17,18,8,0,15,16,103,0,63,68.5,2,0,10,3,1,0,47,0,0,,0,,DF,Nott'ham Forest,0,0,0,0,0,0,0,0,0,
965,966,Lewis Miley,2024-2025,22,1248,14,8,1,3,1,0,14,3,21.4,15.7,0,489,83.6,12,2,56,381,1799,14,18,10,17,8,47.1,35,23,7,21,7,3,8,19,2,11,47.8,1,0,5,6,2,0,85,0,0,,0,,MF,Newcastle Utd,0,0,0,0,0,0,0,0,0,
966,967,Luka Milivojević,2022-2023,183,13882,156,27,28,6,6,22,155,38,24.5,27.8,48,5903,78.0,143,14,703,4322,20117,79,102,84,86,59,68.6,332,221,149,150,33,45,284,260,13,187,56.8,45,1,274,159,2,1,896,0,0,,0,,MF,Crystal Palace,0,0,0,0,0,0,0,0,0,
967,968,James Milner,2024-2025,637,40187,433,204,55,89,38,17,124,218,28.2,21.8,2,5865,81.8,156,37,776,4834,19294,178,114,74,95,60,63.2,222,209,77,115,30,25,143,139,3,111,49.3,78,3,564,130,6,0,588,0,0,,0,,"DF,MF","Aston Villa,Brighton,Leeds United,Liverpool,Manchester City,Newcastle Utd",0,0,0,0,1,0,0,1,3,
968,969,Yerry Mina,2022-2023,86,6553,76,10,7,1,7,0,64,22,34.4,10.6,0,3274,85.6,13,0,203,2711,15538,29,22,4,13,8,61.5,101,61,71,28,2,55,77,332,6,265,62.8,13,0,66,47,4,1,341,0,0,,0,,DF,Everton,0,0,0,0,0,0,0,0,0,
969,970,Takumi Minamino,2021-2022,40,1439,14,26,6,0,6,0,35,13,37.1,17.7,0,448,77.2,8,1,32,473,2422,32,35,21,35,16,45.7,17,11,4,10,3,1,7,17,0,12,38.7,2,0,22,20,2,0,76,0,0,,0,,"FW,MF","Liverpool,Southampton",0,0,0,0,0,0,0,0,1,
970,971,Tyrone Mings,2024-2025,164,13794,155,9,6,9,6,0,61,18,29.5,11.5,0,5792,80.4,34,4,397,5029,28496,71,59,22,47,38,80.9,94,64,68,20,6,147,192,732,12,314,65.6,33,1,98,85,9,4,808,0,0,,0,,DF,"Aston Villa,Bournemouth",0,0,0,0,0,0,0,0,0,
971,972,Yankuba Minteh,2024-2025,18,750,7,11,3,2,3,0,14,4,28.6,15.3,0,135,59.5,13,3,18,195,1576,39,20,6,51,23,45.1,14,9,6,2,6,0,5,8,0,8,33.3,5,0,11,4,2,0,33,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,
972,973,Kevin Mirallas,2017-2018,151,8791,104,47,29,21,29,0,64,125,39.1,23.0,0,44,74.6,1,0,3,44,398,10,3,3,3,2,66.7,4,17,1,2,1,0,8,3,0,2,50.0,16,2,115,27,4,0,6,0,0,,0,,"FW,MF",Everton,0,0,0,0,0,0,0,0,0,
973,974,Tyrick Mitchell,2024-2025,155,13104,150,5,3,11,3,0,31,9,29.0,12.7,0,5063,72.0,93,55,470,3789,15658,160,169,107,140,73,52.1,411,244,275,99,37,44,140,410,2,99,45.4,16,1,91,71,6,0,846,0,0,,0,,DF,Crystal Palace,0,0,0,0,0,0,0,0,0,
974,975,Kaoru Mitoma,2024-2025,75,5649,59,16,15,12,15,0,125,52,41.6,13.6,0,1827,78.3,98,12,220,2109,16586,373,136,66,316,136,43.0,87,52,27,35,25,3,33,26,0,46,48.4,4,0,71,65,17,0,250,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,
975,976,Aleksandar Mitrović,2023-2024,129,8936,95,34,38,11,30,8,278,125,34.2,15.3,4,1372,69.0,73,3,137,1435,5996,66,239,175,111,59,53.2,41,21,11,21,9,16,12,83,1,414,49.2,21,2,170,127,52,0,174,0,0,,0,,FW,"Fulham,Newcastle Utd",0,0,0,0,0,0,0,0,0,
