,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team_df1,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG,Wiki,Obscurity,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
251,Brighton & Hove Albion,Kaoru Mitoma,https://en.wikipedia.org/wiki/Kaoru_Mitoma,,975,Kaoru Mitoma,2024-2025,75,5649,59,16,15,12,15,0,125,52,41.6,13.6,0,1827,78.3,98,12,220,2109,16586,373,136,66,316,136,43.0,87,52,27,35,25,3,33,26,0,46,48.4,4,0,71,65,17,0,250,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,,329575.0,87.16065686,Kaoru Mitoma,Kaoru Mitoma,100.0,Brighton & Hove Albion,93,974
347,Brighton & Hove Albion,Jason Steele,https://en.wikipedia.org/wiki/Jason_Steele_(footballer),,1368,Jason Steele,2024-2025,35,3150,35,0,0,1,0,0,0,0,,,0,1183,86.7,1,0,0,977,4046,0,0,0,1,1,100.0,0,0,0,0,0,0,0,15,2,4,80.0,1,0,1,3,0,1,56,60,84,60.0,9,25.7,GK,Brighton,0,0,0,0,0,0,0,0,0,,125410.0,94.82354972,Jason Steele,Jason Steele,100.0,Brighton & Hove Albion,94,1367
188,Brighton & Hove Albion,Ferdi Kadıoğlu,https://en.wikipedia.org/wiki/Ferdi_Kad%C4%B1o%C4%9Flu,,730,Ferdi Kadioglu,2024-2025,6,385,5,1,1,0,1,0,4,1,25.0,15.1,0,144,82.3,5,4,15,124,479,1,6,2,7,3,42.9,10,6,4,5,1,2,8,17,0,3,75.0,1,0,5,3,1,0,14,0,0,,0,,"DF,MF",Brighton,0,0,0,0,0,0,0,0,0,,,90.24699304,Ferdi Kadioglu,Ferdi Kadıoğlu,85.71428571428572,Brighton & Hove Albion,95,729
139,Brighton & Hove Albion,Diego Gómez,https://en.wikipedia.org/wiki/Diego_G%C3%B3mez_(Paraguayan_footballer),,560,Diego Gómez,2024-2025,1,1,0,1,0,0,0,0,0,0,,,0,1,50.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,,MF,Brighton,0,0,0,0,0,0,0,0,0,,101776.0,96.9563114,Diego Gómez,Diego Gómez,100.0,Brighton & Hove Albion,96,559
23,Brighton & Hove Albion,Yasin Ayari,https://en.wikipedia.org/wiki/Yasin_Ayari,,87,Yasin Ayari,2024-2025,23,1334,15,8,0,0,0,0,17,5,29.4,20.4,1,517,80.5,21,1,47,431,2118,19,28,18,36,14,38.9,42,23,12,23,7,5,13,16,0,7,31.8,3,0,26,21,3,0,87,0,0,,0,,MF,Brighton,0,0,0,0,0,0,0,0,0,,118858.0,95.49288801,Yasin Ayari,Yasin Ayari,100.0,Brighton & Hove Albion,97,86
388,Brighton & Hove Albion,Mats Wieffer,https://en.wikipedia.org/wiki/Mats_Wieffer,,1526,Mats Wieffer,2024-2025,13,471,4,9,1,1,1,0,5,2,40.0,11.0,0,288,86.2,5,0,34,237,1035,5,7,7,9,4,44.4,20,11,4,13,3,1,7,11,2,16,64.0,2,0,14,5,0,0,41,0,0,,0,,MF,Brighton,0,0,0,0,0,0,0,0,0,,133719.0,95.45453711,Mats Wieffer,Mats Wieffer,100.0,Brighton & Hove Albion,98,1525
159,Brighton & Hove Albion,Jan Paul van Hecke,https://en.wikipedia.org/wiki/Jan_Paul_van_Hecke,,623,Jan Paul van Hecke,2024-2025,57,4454,49,8,0,1,0,0,27,8,29.6,13.3,0,3771,91.2,22,5,322,3224,18154,62,26,7,17,8,47.1,83,51,45,33,5,47,53,162,6,120,58.8,10,0,36,32,0,0,232,0,0,,0,,DF,Brighton,0,0,0,0,0,0,0,0,0,,113126.0,94.43327492,Jan Paul van Hecke,Jan Paul van Hecke,100.0,Brighton & Hove Albion,99,622
113,Brighton & Hove Albion,Pervis Estupiñán,https://en.wikipedia.org/wiki/Pervis_Estupi%C3%B1%C3%A1n,,451,Pervis Estupiñán,2024-2025,72,5335,61,11,3,9,3,0,54,14,25.9,20.8,2,3197,82.9,96,47,311,2596,12205,177,79,55,86,38,44.2,126,71,68,43,15,14,76,94,1,72,54.5,11,0,88,55,19,1,373,0,0,,0,,DF,Brighton,0,0,0,0,0,0,0,0,0,,119290.0,93.78411135,Pervis Estupiñán,Pervis Estupiñán,100.0,Brighton & Hove Albion,100,450
274,Brighton & Hove Albion,Matt O'Riley,https://en.wikipedia.org/wiki/Matt_O%27Riley,,1072,Matt O'Riley,2024-2025,10,423,5,5,1,1,1,0,13,3,23.1,16.7,0,140,79.1,10,0,17,104,434,8,7,1,5,2,40.0,8,7,1,6,1,1,10,4,0,3,75.0,1,0,6,4,0,1,17,0,0,,0,,MF,Brighton,0,0,0,0,0,0,0,0,0,,630295.0,80.52247818,Matt O'Riley,Matt O'Riley,100.0,Brighton & Hove Albion,101,1071
373,Brighton & Hove Albion,Joël Veltman,https://en.wikipedia.org/wiki/Jo%C3%ABl_Veltman,,1472,Joël Veltman,2024-2025,137,10394,117,20,4,4,4,0,51,14,27.5,17.1,0,5263,79.4,59,29,568,4086,18812,157,102,41,114,44,38.6,296,181,180,90,26,43,131,319,1,171,58.0,23,0,139,195,1,0,583,0,0,,0,,DF,Brighton,0,0,0,0,0,0,0,0,0,,74705.0,93.83915417,Joël Veltman,Joël Veltman,100.0,Brighton & Hove Albion,102,1471
