,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
34,87,Brooklyn Nets,Nic Claxton,https://en.wikipedia.org/wiki/Nic_Claxton,98006.0,154,Nic Claxton,2024-25,277,195,0,7085,1226,1903,1222,1872,4,31,383,708,599,1551,2150,450,193,476,295,651,2839,0.644,0.653,0.129,0.541,0.641,0.645,C,BRK,0,0,0,0,0,154000.0,Nic Claxton,Nic Claxton,100.0,Brooklyn Nets,36,153,639148
35,89,Brooklyn Nets,Noah Clowney,https://en.wikipedia.org/wiki/Noah_Clowney,51379.0,157,Noah Clowney,2024-25,56,18,0,1116,150,353,73,139,77,214,69,86,57,153,210,47,23,31,48,108,446,0.425,0.525,0.36,0.802,0.571,0.534,F,BRK,0,0,0,0,0,22885.0,Noah Clowney,Noah Clowney,100.0,Brooklyn Nets,37,156,639148
36,136,Brooklyn Nets,Tosan Evbuomwan,https://en.wikipedia.org/wiki/Tosan_Evbuomwan,48730.0,236,Tosan Evbuomwan,2024-25,26,8,0,581,73,137,53,81,20,56,32,49,28,70,98,28,10,9,25,42,198,0.533,0.654,0.357,0.653,0.624,0.606,F,"BRK,DET,MEM",0,0,0,0,0,8296.0,Tosan Evbuomwan,Tosan Evbuomwan,100.0,Brooklyn Nets,39,235,639148
37,230,Brooklyn Nets,Cameron Johnson,https://en.wikipedia.org/wiki/Cameron_Johnson,135504.0,399,Cameron Johnson,2024-25,317,158,0,8316,1377,3028,637,1164,740,1864,494,585,238,996,1234,571,257,96,271,534,3988,0.455,0.547,0.397,0.844,0.607,0.577,F,"BRK,PHO",0,0,0,0,0,244444.0,Cameron Johnson,Cameron Johnson,100.0,Brooklyn Nets,40,398,639148
38,234,Brooklyn Nets,Keon Johnson,"https://en.wikipedia.org/wiki/Keon_Johnson_(basketball,_born_2002)",58927.0,404,Keon Johnson,2024-25,123,33,0,2062,300,825,176,441,124,384,117,154,64,198,262,207,84,31,148,219,841,0.364,0.399,0.323,0.76,0.471,0.439,G,"BRK,LAC,POR",0,0,0,0,0,0.0,Keon Johnson,Keon Johnson,100.0,Brooklyn Nets,41,403,639148
39,276,Brooklyn Nets,Maxwell Lewis,https://en.wikipedia.org/wiki/Maxwell_Lewis,61353.0,466,Maxwell Lewis,2024-25,42,0,0,133,7,28,5,18,2,10,2,3,4,2,6,8,3,1,12,6,18,0.25,0.278,0.2,0.667,0.307,0.286,F,"BRK,LAL",0,0,0,0,0,62434.0,Maxwell Lewis,Maxwell Lewis,100.0,Brooklyn Nets,42,465,639148
40,295,Brooklyn Nets,Tyrese Martin,https://en.wikipedia.org/wiki/Tyrese_Martin,42112.0,497,Tyrese Martin,2024-25,43,5,0,622,91,226,47,99,44,127,19,28,33,78,111,52,14,5,35,31,245,0.403,0.475,0.346,0.679,0.514,0.5,G,"ATL,BRK",0,0,0,0,0,19126.0,Tyrese Martin,Tyrese Martin,100.0,Brooklyn Nets,43,496,639148
41,310,Brooklyn Nets,De'Anthony Melton,https://en.wikipedia.org/wiki/De%27Anthony_Melton,170949.0,522,De'Anthony Melton,2024-25,356,148,0,8147,1152,2810,610,1340,542,1470,385,494,265,1051,1316,988,502,172,488,728,3231,0.41,0.455,0.369,0.779,0.534,0.506,G,"GSW,MEM,PHI,PHO",0,0,0,0,0,99744.0,De'Anthony Melton,De'Anthony Melton,100.0,Brooklyn Nets,44,521,639148
42,401,Brooklyn Nets,D'Angelo Russell,https://en.wikipedia.org/wiki/D%27Angelo_Russell,728815.0,676,D'Angelo Russell,2024-25,606,513,1,18167,3813,8884,2283,4725,1530,4159,1418,1782,291,1762,2053,3473,643,190,1600,1149,10574,0.429,0.483,0.368,0.796,0.547,0.515,G,"BRK,GSW,LAL,MIN",0,0,0,0,0,3863925.0,D'Angelo Russell,D'Angelo Russell,100.0,Brooklyn Nets,45,675,639148
43,415,Brooklyn Nets,Day'Ron Sharpe,https://en.wikipedia.org/wiki/Day%27Ron_Sharpe,48059.0,700,Day'Ron Sharpe,2024-25,162,12,0,2229,411,753,396,694,15,59,161,256,400,482,882,171,63,100,166,321,998,0.546,0.571,0.254,0.629,0.576,0.556,C,BRK,0,0,0,0,0,80133.0,Day'Ron Sharpe,Day'Ron Sharpe,100.0,Brooklyn Nets,46,699,639148
