Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
44,Arizona Cardinals,8518.0,29,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,43,12,3,1,1,0,5,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Kei'Trel Clark,99.50639911325348,160.40251828005103,58.62,60.74786473147057,29.31
45,Arizona Cardinals,12841.0,35,10,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,51,22,3,1,0,0,6,0,1,0,1,0,0.0,0,3,0,RCB,0,0,0,0,0,0,0,Darren Hall,99.4390663912202,159.2667021428534,60.02,60.890966085760816,30.01
46,Arizona Cardinals,51784.0,17,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,36,15,2,0,0,0,5,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Max Melton,98.9583226626116,151.3756454829945,59.74,60.87050309333814,29.87
47,Arizona Cardinals,67346.0,82,65,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,1.0,211,86,12,1,11,1,34,0,2,0,8,0,0.0,0,143,0,RCB,0,0,0,0,0,0,1,Sean Murphy-Bunting,98.6829037053926,147.02285858683751,30.97,21.81813896200961,15.48
48,Arizona Cardinals,14575.0,40,32,0,0,0.0,0,0,0,0.0,1,0.0,0,515,2264,4.4,18,56.6,121,92,615,6.7,5,15.4,0,0.0,1,0,140,421.9,0.0,0,1,0,0,0,0,0,8,1,0,0,0,0.0,0,2879,0,RB,0,0,0,0,0,0,0,James Robinson,98.92650077869132,150.86657775857242,41.64,57.73308122501009,20.82
49,Arizona Cardinals,16466.0,17,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,23,14,3,0,0,0,5,0,0,0,1,0,0.0,0,0,0,S,0,0,0,0,0,0,0,Dadrion Taylor-Demerson,99.41552744964105,158.8714312628759,66.92,61.21764579261733,33.46
50,Arizona Cardinals,13291.0,29,22,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,66,19,2,0,0,0,11,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Starling Thomas,99.4264896461746,159.05539503007634,57.79,60.672297712624626,28.9
51,Arizona Cardinals,16085.0,84,72,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,339,144,12,9,9,0,31,0,4,0,1,0,0.0,0,140,0,S,0,0,0,0,0,0,0,Jalen Thompson,99.34582251137212,157.7063735205229,48.52,59.604524916451155,24.26
52,Arizona Cardinals,14754.0,25,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,59,22,1,0,3,0,11,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Garrett Williams,99.41825811001388,158.91723739616356,58.26,60.724651852578916,29.13
53,Arizona Cardinals,6662.0,196,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,17,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,LS,0,0,0,0,0,0,1,Aaron Brewer,99.4588301925728,159.59929938761596,23.85,13.0850815720341,11.92
