Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,oline_carrer_value,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
501,Cleveland Browns,9271.0,22,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,21,11,3,0,0,0,1,0,0,0,0,0,0.0,0,0,0,DE,0,0,0,0,0,0,0,Sam Kamara,99.50717250408012,160.41560886232202,0,60.94,59.932552328054655,30.47
502,Cleveland Browns,9580.0,20,4,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,3.5,23,19,10,11,0,0,0,0,0,0,3,0,0.0,0,0,0,DE,0,0,0,0,0,0,0,Isaiah McGuire,99.50422007213189,160.36564079772612,0,59.62,59.83227331952705,29.81
503,Cleveland Browns,4836.0,80,13,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,17.0,89,43,31,38,0,0,4,0,1,0,4,0,0.0,0,0,0,LB,0,0,0,0,0,0,1,Ogbonnia Okoronkwo,99.51103425863938,160.4809889154871,0,31.57,25.325618369043916,15.78
504,Cleveland Browns,25253.0,41,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,4.0,26,25,10,8,0,0,2,0,1,1,0,0,0.0,0,2,0,DE,0,0,0,0,0,0,0,Cameron Thomas,99.28304127858289,156.66396806382542,0,53.75,59.16546890636476,26.88
505,Cleveland Browns,26697.0,125,125,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,19.0,168,174,36,67,0,0,7,0,2,0,2,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Dalvin Tomlinson,99.16722754009652,154.75811027632528,0,43.78,56.407971313322264,21.89
506,Cleveland Browns,8962.0,37,6,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,1,2,0.0,6.0,34,27,9,6,0,0,7,0,2,0,2,0,0.0,0,0,0,DE,0,0,0,0,0,0,0,Alex Wright,99.5347308080695,160.8827281356527,0,55.38,59.40274250053979,27.69
507,Cleveland Browns,12882.0,29,12,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,38,40,5,0,0,0,3,0,1,0,0,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Mohamoud Diabate,99.43688067287296,159.22995989966668,0,58.1,59.688712537910455,29.05
508,Cleveland Browns,18077.0,134,131,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,12,0.0,16.5,614,338,51,38,13,1,53,0,11,1,6,0,0.0,0,272,0,LB,0,0,0,0,0,0,1,Jordan Hicks,99.38615481687631,158.3795029028573,0,27.85,23.474584221738148,13.92
509,Cleveland Browns,149181.0,49,41,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,8.0,205,103,40,14,3,0,17,0,0,0,6,0,0.0,0,8,0,LB,0,0,0,0,0,0,0,Jeremiah Owusu-Koramoah,97.68993885374566,132.28855801304994,0,41.23,55.11353018432092,20.62
510,Cleveland Browns,9319.0,15,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,4,9,0,2,0,0,0,0,0,0,1,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Elerson Smith,99.50959637379404,160.45664237050195,0,67.58,60.3242262858326,33.79
